round_id,camel_c_0_location,camel_c_0_stack_location,camel_c_0_yet_to_move,camel_c_1_location,camel_c_1_stack_location,camel_c_1_yet_to_move,camel_c_2_location,camel_c_2_stack_location,camel_c_2_yet_to_move,camel_c_3_location,camel_c_3_stack_location,camel_c_3_yet_to_move,camel_c_4_location,camel_c_4_stack_location,camel_c_4_yet_to_move,player_0_coins,player_1_coins,player_2_coins,player_3_coins,active_player,action_type,camel,trap_type,trap_location,player_2_trap_location,player_2_trap_type,bet_type,player_0_trap_location,player_0_trap_type,player_1_trap_location,player_1_trap_type,distance,player_3_trap_location,player_3_trap_type,game_id,player_0_name,player_0_final,player_1_name,player_1_final,player_2_name,player_2_final,player_3_name,player_3_final,winners
10,0,1,True,0,0,True,2,1,True,2,0,True,2,2,True,2,2,2,2,1.0,game_bet,c_1,,,3.0,-1.0,lose,5.0,-1.0,1.0,-1.0,,,,greedy_4player_g0,GreedyAgent,17,GreedyAgent,14,GreedyAgent,10,GreedyAgent,34,GreedyAgent
11,0,1,True,0,0,True,2,1,True,2,0,True,2,2,True,2,2,2,2,2.0,game_bet,c_4,,,3.0,-1.0,win,5.0,-1.0,1.0,-1.0,,,,greedy_4player_g0,GreedyAgent,17,GreedyAgent,14,GreedyAgent,10,GreedyAgent,34,GreedyAgent
12,0,1,True,0,0,True,2,1,True,2,0,True,2,2,True,2,2,2,2,3.0,round_winner_bet,c_4,,,3.0,-1.0,,5.0,-1.0,1.0,-1.0,,,,greedy_4player_g0,GreedyAgent,17,GreedyAgent,14,GreedyAgent,10,GreedyAgent,34,GreedyAgent
13,0,1,True,0,0,True,2,1,True,2,0,True,2,2,True,2,2,2,2,0.0,game_bet,c_0,,,3.0,-1.0,lose,5.0,-1.0,1.0,-1.0,,,,greedy_4player_g0,GreedyAgent,17,GreedyAgent,14,GreedyAgent,10,GreedyAgent,34,GreedyAgent
14,0,1,True,0,0,True,2,1,True,2,0,True,2,2,True,2,2,2,2,1.0,game_bet,c_4,,,3.0,-1.0,win,5.0,-1.0,1.0,-1.0,,,,greedy_4player_g0,GreedyAgent,17,GreedyAgent,14,GreedyAgent,10,GreedyAgent,34,GreedyAgent
15,0,1,True,0,0,True,2,1,True,2,0,True,2,2,True,2,2,2,2,2.0,round_winner_bet,c_3,,,3.0,-1.0,,5.0,-1.0,1.0,-1.0,,,,greedy_4player_g0,GreedyAgent,17,GreedyAgent,14,GreedyAgent,10,GreedyAgent,34,GreedyAgent
16,0,1,True,0,0,False,2,1,True,2,0,True,2,2,True,2,3,2,3,3.0,move_camel,c_1,,,3.0,-1.0,,5.0,-1.0,1.0,-1.0,0.0,,,greedy_4player_g0,GreedyAgent,17,GreedyAgent,14,GreedyAgent,10,GreedyAgent,34,GreedyAgent
17,0,1,True,0,0,False,2,1,True,2,0,True,2,2,True,2,3,2,3,0.0,game_bet,c_4,,,3.0,-1.0,win,5.0,-1.0,1.0,-1.0,,,,greedy_4player_g0,GreedyAgent,17,GreedyAgent,14,GreedyAgent,10,GreedyAgent,34,GreedyAgent
18,0,1,True,0,0,False,2,1,True,2,0,True,2,2,True,2,3,2,3,1.0,game_bet,c_2,,,3.0,-1.0,win,5.0,-1.0,1.0,-1.0,,,,greedy_4player_g0,GreedyAgent,17,GreedyAgent,14,GreedyAgent,10,GreedyAgent,34,GreedyAgent
19,0,1,True,0,0,False,2,1,True,2,0,True,2,2,True,2,3,2,3,2.0,game_bet,c_2,,,3.0,-1.0,win,5.0,-1.0,1.0,-1.0,,,,greedy_4player_g0,GreedyAgent,17,GreedyAgent,14,GreedyAgent,10,GreedyAgent,34,GreedyAgent
20,0,1,True,0,0,False,2,1,True,2,0,True,2,2,True,2,3,2,3,3.0,game_bet,c_4,,,3.0,-1.0,win,5.0,-1.0,1.0,-1.0,,,,greedy_4player_g0,GreedyAgent,17,GreedyAgent,14,GreedyAgent,10,GreedyAgent,34,GreedyAgent
21,0,1,True,0,0,False,2,1,True,2,0,True,2,2,True,2,3,2,3,0.0,round_winner_bet,c_4,,,3.0,-1.0,,5.0,-1.0,1.0,-1.0,,,,greedy_4player_g0,GreedyAgent,17,GreedyAgent,14,GreedyAgent,10,GreedyAgent,34,GreedyAgent
22,0,1,True,0,0,False,2,1,True,2,0,True,2,2,True,2,3,2,3,1.0,round_winner_bet,c_2,,,3.0,-1.0,,5.0,-1.0,1.0,-1.0,,,,greedy_4player_g0,GreedyAgent,17,GreedyAgent,14,GreedyAgent,10,GreedyAgent,34,GreedyAgent
23,2,3,False,0,0,False,2,1,True,2,0,True,2,2,True,2,3,3,3,2.0,move_camel,c_0,,,3.0,-1.0,,5.0,-1.0,1.0,-1.0,2.0,,,greedy_4player_g0,GreedyAgent,17,GreedyAgent,14,GreedyAgent,10,GreedyAgent,34,GreedyAgent
24,2,3,False,0,0,False,2,1,True,2,0,True,2,2,True,2,3,3,3,3.0,round_winner_bet,c_0,,,3.0,-1.0,,5.0,-1.0,1.0,-1.0,,,,greedy_4player_g0,GreedyAgent,17,GreedyAgent,14,GreedyAgent,10,GreedyAgent,34,GreedyAgent
25,2,3,False,0,0,False,2,1,True,2,0,True,2,2,True,2,3,3,3,0.0,round_winner_bet,c_0,,,3.0,-1.0,,5.0,-1.0,1.0,-1.0,,,,greedy_4player_g0,GreedyAgent,17,GreedyAgent,14,GreedyAgent,10,GreedyAgent,34,GreedyAgent
26,2,3,False,0,0,False,2,1,True,2,0,True,2,2,True,2,3,3,3,1.0,game_bet,c_0,,,3.0,-1.0,win,5.0,-1.0,1.0,-1.0,,,,greedy_4player_g0,GreedyAgent,17,GreedyAgent,14,GreedyAgent,10,GreedyAgent,34,GreedyAgent
27,2,3,False,0,0,False,2,1,True,2,0,True,2,2,True,2,3,3,3,2.0,game_bet,c_0,,,3.0,-1.0,win,5.0,-1.0,1.0,-1.0,,,,greedy_4player_g0,GreedyAgent,17,GreedyAgent,14,GreedyAgent,10,GreedyAgent,34,GreedyAgent
28,2,3,False,0,0,False,2,1,True,2,0,True,2,2,True,2,3,3,3,3.0,round_winner_bet,c_0,,,3.0,-1.0,,5.0,-1.0,1.0,-1.0,,,,greedy_4player_g0,GreedyAgent,17,GreedyAgent,14,GreedyAgent,10,GreedyAgent,34,GreedyAgent
29,4,2,False,0,0,False,4,0,False,2,0,True,4,1,True,4,3,3,3,0.0,move_camel,c_2,,,3.0,-1.0,,5.0,-1.0,1.0,-1.0,2.0,,,greedy_4player_g0,GreedyAgent,17,GreedyAgent,14,GreedyAgent,10,GreedyAgent,34,GreedyAgent
